ticker,call_date,maec_folder,text_path,reporting_period_end_q,reporting_period_end_a,reporting_period_end,q_consensus_statpers,q_consensus_n_analysts,q_consensus_eps_mean,q_consensus_eps_median,q_consensus_eps_stdev,q_consensus_eps_high,q_consensus_eps_low,q_actual_eps,q_actual_announcement_date,a_consensus_statpers,a_consensus_n_analysts,a_consensus_eps_mean,a_consensus_eps_median,a_consensus_eps_stdev,a_consensus_eps_high,a_consensus_eps_low,a_actual_eps,a_actual_announcement_date,reporting_fy_int,current_fy_label,next_fy_label,cur_guidance_ebitda,cur_guidance_eps_excl,cur_guidance_eps_excl_high,cur_guidance_eps_excl_low,cur_guidance_revenue,cur_guidance_revenue_high,cur_guidance_revenue_low,next_guidance_ebitda,next_guidance_eps_excl,next_guidance_eps_excl_high,next_guidance_eps_excl_low,next_guidance_revenue,next_guidance_revenue_high,next_guidance_revenue_low,guidance_eps_midpoint,qtr_surprise_vs_consensus,qtr_beat_consensus,ann_surprise_vs_consensus,ann_beat_consensus,ann_surprise_vs_guidance,ann_beat_guidance_midpoint,annual_actual_in_guidance_range
AAON,2017-11-02,20171102_AAON,raw_data/transcripts/maec/MAEC_Dataset/20171102_AAON/text.txt,2017-09-30,2016-12-31,2017-09-30,2017-10-19,3.0,0.19,0.19,0.01,0.2,0.19,0.1867,2017-11-02,2017-02-16,3.0,0.68,0.68,0.01,0.69,0.67,0.6667,2017-02-23,2016.0,FY2016,FY2017,,,,,,,,,,,,,,,,-0.0032999999999999974,False,-0.01330000000000009,False,,,
AAON,2018-02-27,20180227_AAON,raw_data/transcripts/maec/MAEC_Dataset/20180227_AAON/text.txt,2017-12-31,2017-12-31,2017-12-31,2018-02-15,3.0,0.16,0.16,0.01,0.17,0.15,0.14,2018-02-27,2018-02-15,3.0,0.65,0.65,0.01,0.65,0.64,0.6333,2018-02-27,2017.0,FY2017,FY2018,,,,,,,,,,,,,,,,-0.01999999999999999,False,-0.016700000000000048,False,,,
AAON,2018-05-03,20180503_AAON,raw_data/transcripts/maec/MAEC_Dataset/20180503_AAON/text.txt,2018-03-31,2017-12-31,2018-03-31,2018-04-19,3.0,0.16,0.16,0.02,0.19,0.15,0.0533,2018-05-03,2018-02-15,3.0,0.65,0.65,0.01,0.65,0.64,0.6333,2018-02-27,2017.0,FY2017,FY2018,,,,,,,,,,,,,,,,-0.1067,False,-0.016700000000000048,False,,,
AAP,2016-02-11,20160211_AAP,raw_data/transcripts/maec/MAEC_Dataset/20160211_AAP/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
AAP,2016-05-19,20160519_AAP,raw_data/transcripts/maec/MAEC_Dataset/20160519_AAP/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
AAP,2016-11-14,20161114_AAP,raw_data/transcripts/maec/MAEC_Dataset/20161114_AAP/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
AAP,2017-02-21,20170221_AAP,raw_data/transcripts/maec/MAEC_Dataset/20170221_AAP/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
AAP,2017-05-24,20170524_AAP,raw_data/transcripts/maec/MAEC_Dataset/20170524_AAP/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
AAPL,2015-07-21,20150721_AAPL,raw_data/transcripts/maec/MAEC_Dataset/20150721_AAPL/text.txt,2015-06-30,2014-09-30,2015-06-30,2015-07-16,39.0,0.45,0.45,0.02,0.51,0.41,0.4625,2015-07-21,2014-10-16,48.0,1.58,1.59,0.01,1.63,1.56,1.6125,2014-10-20,2014.0,FY2014,FY2015,,,,,,,,,,,,,,,,0.012500000000000011,True,0.03249999999999997,True,,,
AAPL,2016-10-25,20161025_AAPL,raw_data/transcripts/maec/MAEC_Dataset/20161025_AAPL/text.txt,2016-09-30,2016-09-30,2016-09-30,2016-10-20,37.0,0.41,0.41,0.01,0.43,0.4,0.4175,2016-10-25,2016-10-20,42.0,2.07,2.07,0.01,2.08,2.04,2.0775,2016-10-25,2016.0,FY2016,FY2017,,,,,,,,,,,,,,,,0.007500000000000007,True,0.007500000000000284,True,,,
AAPL,2017-05-02,20170502_AAPL,raw_data/transcripts/maec/MAEC_Dataset/20170502_AAPL/text.txt,2017-03-31,2016-09-30,2017-03-31,2017-04-20,36.0,0.51,0.5,0.01,0.54,0.48,0.525,2017-05-02,2016-10-20,42.0,2.07,2.07,0.01,2.08,2.04,2.0775,2016-10-25,2016.0,FY2016,FY2017,,,,,,,,,,,,,,,,0.015000000000000013,True,0.007500000000000284,True,,,
AAPL,2017-08-01,20170801_AAPL,raw_data/transcripts/maec/MAEC_Dataset/20170801_AAPL/text.txt,2017-06-30,2016-09-30,2017-06-30,2017-07-20,38.0,0.39,0.39,0.01,0.41,0.38,0.4175,2017-08-01,2016-10-20,42.0,2.07,2.07,0.01,2.08,2.04,2.0775,2016-10-25,2016.0,FY2016,FY2017,,,,,,,,,,,,,,,,0.02749999999999997,True,0.007500000000000284,True,,,
AAWW,2015-11-05,20151105_AAWW,raw_data/transcripts/maec/MAEC_Dataset/20151105_AAWW/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
AAWW,2016-05-05,20160505_AAWW,raw_data/transcripts/maec/MAEC_Dataset/20160505_AAWW/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
AAWW,2016-08-03,20160803_AAWW,raw_data/transcripts/maec/MAEC_Dataset/20160803_AAWW/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
AAXN,2018-02-27,20180227_AAXN,raw_data/transcripts/maec/MAEC_Dataset/20180227_AAXN/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ABAX,2015-10-27,20151027_ABAX,raw_data/transcripts/maec/MAEC_Dataset/20151027_ABAX/text.txt,2015-09-30,2015-03-31,2015-09-30,2015-10-15,9.0,0.32,0.32,0.02,0.34,0.28,0.34,2015-10-27,2015-04-16,7.0,0.97,0.97,0.01,0.99,0.96,0.86,2015-04-30,2015.0,FY2015,FY2016,,,,,,,,,,,,,,,,0.020000000000000018,True,-0.10999999999999999,False,,,
ABBV,2016-04-28,20160428_ABBV,raw_data/transcripts/maec/MAEC_Dataset/20160428_ABBV/text.txt,2016-03-31,2015-12-31,2016-03-31,2016-04-14,17.0,1.14,1.14,0.03,1.19,1.03,1.15,2016-04-28,2016-01-14,17.0,4.29,4.28,0.02,4.32,4.26,4.29,2016-01-29,2015.0,FY2015,FY2016,,4.27,4.28,4.26,,,,,4.8100000000000005,4.82,4.8,,,,4.27,0.010000000000000009,True,0.0,False,0.020000000000000462,True,False
ABBV,2016-07-29,20160729_ABBV,raw_data/transcripts/maec/MAEC_Dataset/20160729_ABBV/text.txt,2016-06-30,2015-12-31,2016-06-30,2016-07-14,17.0,1.2,1.2,0.02,1.27,1.14,1.26,2016-07-29,2016-01-14,17.0,4.29,4.28,0.02,4.32,4.26,4.29,2016-01-29,2015.0,FY2015,FY2016,,4.27,4.28,4.26,,,,,4.8100000000000005,4.82,4.8,,,,4.27,0.06000000000000005,True,0.0,False,0.020000000000000462,True,False
ABBV,2017-04-27,20170427_ABBV,raw_data/transcripts/maec/MAEC_Dataset/20170427_ABBV/text.txt,2017-03-31,2016-12-31,2017-03-31,2017-04-20,18.0,1.26,1.26,0.02,1.32,1.24,1.28,2017-04-27,2017-01-19,20.0,4.82,4.82,0.01,4.85,4.81,4.82,2017-01-27,2016.0,FY2016,FY2017,,4.8100000000000005,4.82,4.8,,,,,5.54,5.55,5.53,,,,4.8100000000000005,0.020000000000000018,True,0.0,False,0.009999999999999787,True,True
ABBV,2017-10-27,20171027_ABBV,raw_data/transcripts/maec/MAEC_Dataset/20171027_ABBV/text.txt,2017-09-30,2016-12-31,2017-09-30,2017-10-19,17.0,1.38,1.38,0.01,1.42,1.36,1.41,2017-10-27,2017-01-19,20.0,4.82,4.82,0.01,4.85,4.81,4.82,2017-01-27,2016.0,FY2016,FY2017,,4.8100000000000005,4.82,4.8,,,,,5.54,5.55,5.53,,,,4.8100000000000005,0.030000000000000027,True,0.0,False,0.009999999999999787,True,True
ABC,2015-04-30,20150430_ABC,raw_data/transcripts/maec/MAEC_Dataset/20150430_ABC/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ABC,2015-07-23,20150723_ABC,raw_data/transcripts/maec/MAEC_Dataset/20150723_ABC/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ABC,2017-01-31,20170131_ABC,raw_data/transcripts/maec/MAEC_Dataset/20170131_ABC/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ABC,2017-08-03,20170803_ABC,raw_data/transcripts/maec/MAEC_Dataset/20170803_ABC/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ABCB,2016-01-22,20160122_ABCB,raw_data/transcripts/maec/MAEC_Dataset/20160122_ABCB/text.txt,2015-12-31,2015-12-31,2015-12-31,2016-01-14,7.0,0.51,0.52,0.02,0.53,0.49,0.43,2016-01-22,2016-01-14,7.0,1.35,1.35,0.02,1.37,1.33,1.27,2016-01-22,2015.0,FY2015,FY2016,,,,,,,,,,,,,,,,-0.08000000000000002,False,-0.08000000000000007,False,,,
ABCB,2016-04-22,20160422_ABCB,raw_data/transcripts/maec/MAEC_Dataset/20160422_ABCB/text.txt,2016-03-31,2015-12-31,2016-03-31,2016-04-14,6.0,0.46,0.46,0.02,0.5,0.44,0.37,2016-04-22,2016-01-14,7.0,1.35,1.35,0.02,1.37,1.33,1.27,2016-01-22,2015.0,FY2015,FY2016,,,,,,,,,,,,,,,,-0.09000000000000002,False,-0.08000000000000007,False,,,
ABCB,2016-10-17,20161017_ABCB,raw_data/transcripts/maec/MAEC_Dataset/20161017_ABCB/text.txt,2016-09-30,2015-12-31,2016-09-30,2016-09-15,6.0,0.59,0.59,0.01,0.6,0.58,0.61,2016-10-17,2016-01-14,7.0,1.35,1.35,0.02,1.37,1.33,1.27,2016-01-22,2015.0,FY2015,FY2016,,,,,,,,,,,,,,,,0.020000000000000018,True,-0.08000000000000007,False,,,
ABCB,2017-04-21,20170421_ABCB,raw_data/transcripts/maec/MAEC_Dataset/20170421_ABCB/text.txt,2017-03-31,2016-12-31,2017-03-31,2017-04-20,6.0,0.58,0.57,0.02,0.61,0.56,0.59,2017-04-21,2017-01-19,5.0,2.05,2.04,0.02,2.08,2.03,2.19,2017-01-20,2016.0,FY2016,FY2017,,,,,,,,,,,,,,,,0.010000000000000009,True,0.14000000000000012,True,,,
ABCB,2017-07-21,20170721_ABCB,raw_data/transcripts/maec/MAEC_Dataset/20170721_ABCB/text.txt,2017-06-30,2016-12-31,2017-06-30,2017-07-20,6.0,0.64,0.64,0.02,0.66,0.62,0.63,2017-07-21,2017-01-19,5.0,2.05,2.04,0.02,2.08,2.03,2.19,2017-01-20,2016.0,FY2016,FY2017,,,,,,,,,,,,,,,,-0.010000000000000009,False,0.14000000000000012,True,,,
ABCB,2018-04-20,20180420_ABCB,raw_data/transcripts/maec/MAEC_Dataset/20180420_ABCB/text.txt,2018-03-31,2017-12-31,2018-03-31,2018-04-19,5.0,0.73,0.72,0.04,0.81,0.7,0.73,2018-04-20,2018-01-18,6.0,2.48,2.47,0.02,2.51,2.46,2.48,2018-01-26,2017.0,FY2017,FY2018,,,,,,,,,,,,,,,,0.0,False,0.0,False,,,
ABG,2015-04-21,20150421_ABG,raw_data/transcripts/maec/MAEC_Dataset/20150421_ABG/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ABG,2015-07-21,20150721_ABG,raw_data/transcripts/maec/MAEC_Dataset/20150721_ABG/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ABG,2016-02-04,20160204_ABG,raw_data/transcripts/maec/MAEC_Dataset/20160204_ABG/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ABG,2016-10-25,20161025_ABG,raw_data/transcripts/maec/MAEC_Dataset/20161025_ABG/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ABG,2017-02-07,20170207_ABG,raw_data/transcripts/maec/MAEC_Dataset/20170207_ABG/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ABG,2018-04-24,20180424_ABG,raw_data/transcripts/maec/MAEC_Dataset/20180424_ABG/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ABM,2016-03-09,20160309_ABM,raw_data/transcripts/maec/MAEC_Dataset/20160309_ABM/text.txt,2016-01-31,2015-10-31,2016-01-31,2016-02-18,5.0,0.26,0.24,0.06,0.36,0.2,0.38,2016-03-08,2015-11-19,7.0,1.76,1.76,0.01,1.78,1.74,1.62,2015-12-08,2015.0,FY2015,FY2016,,1.775,1.8,1.75,,,,,1.725,1.75,1.7,,,,1.775,0.12,True,-0.1399999999999999,False,-0.1549999999999998,False,False
ABM,2016-09-08,20160908_ABM,raw_data/transcripts/maec/MAEC_Dataset/20160908_ABM/text.txt,2016-07-31,2015-10-31,2016-07-31,2016-08-18,6.0,0.4,0.39,0.03,0.45,0.36,0.54,2016-09-07,2015-11-19,7.0,1.76,1.76,0.01,1.78,1.74,1.62,2015-12-08,2015.0,FY2015,FY2016,,1.775,1.8,1.75,,,,,1.725,1.75,1.7,,,,1.775,0.14,True,-0.1399999999999999,False,-0.1549999999999998,False,False
ABM,2017-03-08,20170308_ABM,raw_data/transcripts/maec/MAEC_Dataset/20170308_ABM/text.txt,2017-01-31,2016-10-31,2017-01-31,2017-02-16,6.0,0.31,0.29,0.04,0.39,0.27,0.38,2017-03-07,2016-11-17,5.0,1.73,1.73,0.02,1.76,1.72,1.74,2016-12-13,2016.0,FY2016,FY2017,,1.725,1.75,1.7,,,,,1.9,1.95,1.85,,,,1.725,0.07,True,0.010000000000000009,True,0.014999999999999902,True,True
ABMD,2015-05-05,20150505_ABMD,raw_data/transcripts/maec/MAEC_Dataset/20150505_ABMD/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ABMD,2018-05-03,20180503_ABMD,raw_data/transcripts/maec/MAEC_Dataset/20180503_ABMD/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ABT,2016-04-20,20160420_ABT,raw_data/transcripts/maec/MAEC_Dataset/20160420_ABT/text.txt,2016-03-31,2015-12-31,2016-03-31,2016-04-14,18.0,0.39,0.39,0.01,0.41,0.38,0.41,2016-04-20,2016-01-14,22.0,2.16,2.15,0.01,2.17,2.15,2.15,2016-01-28,2015.0,FY2015,FY2016,,2.1500000000000004,2.16,2.14,,,,,2.2,2.21,2.19,20813.1,21017.15,20609.05,2.1500000000000004,0.019999999999999962,True,-0.010000000000000231,False,-4.440892098500626e-16,False,True
ABT,2016-10-19,20161019_ABT,raw_data/transcripts/maec/MAEC_Dataset/20161019_ABT/text.txt,2016-09-30,2015-12-31,2016-09-30,2016-09-15,15.0,0.58,0.58,0.01,0.61,0.57,0.59,2016-10-19,2016-01-14,22.0,2.16,2.15,0.01,2.17,2.15,2.15,2016-01-28,2015.0,FY2015,FY2016,,2.1500000000000004,2.16,2.14,,,,,2.2,2.21,2.19,20813.1,21017.15,20609.05,2.1500000000000004,0.010000000000000009,True,-0.010000000000000231,False,-4.440892098500626e-16,False,True
ABT,2017-04-19,20170419_ABT,raw_data/transcripts/maec/MAEC_Dataset/20170419_ABT/text.txt,2017-03-31,2016-12-31,2017-03-31,2017-03-16,14.0,0.43,0.43,0.0,0.43,0.43,0.48,2017-04-19,2017-01-19,17.0,2.2,2.2,0.01,2.23,2.19,2.2,2017-01-25,2016.0,FY2016,FY2017,,2.2,2.21,2.19,20813.1,21017.15,20609.05,,2.49,2.5,2.48,,,,2.2,0.04999999999999999,True,0.0,False,0.0,False,True
ABT,2017-07-20,20170720_ABT,raw_data/transcripts/maec/MAEC_Dataset/20170720_ABT/text.txt,2017-06-30,2016-12-31,2017-06-30,2017-06-15,16.0,0.6,0.6,0.01,0.62,0.6,0.62,2017-07-20,2017-01-19,17.0,2.2,2.2,0.01,2.23,2.19,2.2,2017-01-25,2016.0,FY2016,FY2017,,2.2,2.21,2.19,20813.1,21017.15,20609.05,,2.49,2.5,2.48,,,,2.2,0.020000000000000018,True,0.0,False,0.0,False,True
ACC,2016-10-25,20161025_ACC,raw_data/transcripts/maec/MAEC_Dataset/20161025_ACC/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ACET,2017-11-03,20171103_ACET,raw_data/transcripts/maec/MAEC_Dataset/20171103_ACET/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ACHC,2016-04-29,20160429_ACHC,raw_data/transcripts/maec/MAEC_Dataset/20160429_ACHC/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ACHC,2016-07-29,20160729_ACHC,raw_data/transcripts/maec/MAEC_Dataset/20160729_ACHC/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ACHC,2017-02-24,20170224_ACHC,raw_data/transcripts/maec/MAEC_Dataset/20170224_ACHC/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ACIW,2015-02-26,20150226_ACIW,raw_data/transcripts/maec/MAEC_Dataset/20150226_ACIW/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ACIW,2015-07-30,20150730_ACIW,raw_data/transcripts/maec/MAEC_Dataset/20150730_ACIW/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ACIW,2015-11-05,20151105_ACIW,raw_data/transcripts/maec/MAEC_Dataset/20151105_ACIW/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ACIW,2017-05-04,20170504_ACIW,raw_data/transcripts/maec/MAEC_Dataset/20170504_ACIW/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ACIW,2017-07-27,20170727_ACIW,raw_data/transcripts/maec/MAEC_Dataset/20170727_ACIW/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ACLS,2015-05-05,20150505_ACLS,raw_data/transcripts/maec/MAEC_Dataset/20150505_ACLS/text.txt,2015-03-31,2014-12-31,2015-03-31,2015-04-16,4.0,0.0,0.0,0.0,0.0,0.0,0.08,2015-05-05,2015-01-15,4.0,-0.45,-0.44,0.05,-0.4,-0.52,-0.32,2015-02-05,2014.0,FY2014,FY2015,,,,,,,,,,,,,,,,0.08,True,0.13,True,,,
ACLS,2016-02-02,20160202_ACLS,raw_data/transcripts/maec/MAEC_Dataset/20160202_ACLS/text.txt,2015-12-31,2015-12-31,2015-12-31,2016-01-14,5.0,0.02,0.0,0.02,0.04,0.0,0.04,2016-02-02,2016-01-14,5.0,0.47,0.48,0.03,0.52,0.44,0.48,2016-02-02,2015.0,FY2015,FY2016,,,,,,,,,,,,,,,,0.02,True,0.010000000000000009,True,,,
ACLS,2016-05-02,20160502_ACLS,raw_data/transcripts/maec/MAEC_Dataset/20160502_ACLS/text.txt,2016-03-31,2015-12-31,2016-03-31,2016-04-14,5.0,0.03,0.04,0.03,0.08,0.0,0.08,2016-05-02,2016-01-14,5.0,0.47,0.48,0.03,0.52,0.44,0.48,2016-02-02,2015.0,FY2015,FY2016,,,,,,,,,,,,,,,,0.05,True,0.010000000000000009,True,,,
ACLS,2016-08-02,20160802_ACLS,raw_data/transcripts/maec/MAEC_Dataset/20160802_ACLS/text.txt,2016-06-30,2015-12-31,2016-06-30,2016-07-14,5.0,0.04,0.04,0.03,0.08,0.0,0.1,2016-08-02,2016-01-14,5.0,0.47,0.48,0.03,0.52,0.44,0.48,2016-02-02,2015.0,FY2015,FY2016,,,,,,,,,,,,,,,,0.060000000000000005,True,0.010000000000000009,True,,,
ACM,2016-05-10,20160510_ACM,raw_data/transcripts/maec/MAEC_Dataset/20160510_ACM/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ACN,2015-09-24,20150924_ACN,raw_data/transcripts/maec/MAEC_Dataset/20150924_ACN/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ACN,2015-12-17,20151217_ACN,raw_data/transcripts/maec/MAEC_Dataset/20151217_ACN/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ACN,2016-09-29,20160929_ACN,raw_data/transcripts/maec/MAEC_Dataset/20160929_ACN/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ACN,2017-03-23,20170323_ACN,raw_data/transcripts/maec/MAEC_Dataset/20170323_ACN/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ACN,2017-06-22,20170622_ACN,raw_data/transcripts/maec/MAEC_Dataset/20170622_ACN/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ACN,2017-12-21,20171221_ACN,raw_data/transcripts/maec/MAEC_Dataset/20171221_ACN/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ACOR,2017-07-27,20170727_ACOR,raw_data/transcripts/maec/MAEC_Dataset/20170727_ACOR/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ACOR,2018-02-15,20180215_ACOR,raw_data/transcripts/maec/MAEC_Dataset/20180215_ACOR/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
ACOR,2018-05-02,20180502_ACOR,raw_data/transcripts/maec/MAEC_Dataset/20180502_ACOR/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
